cms,name,url
teaching-2,Eberly Center,https://www.cmu.edu/teaching
technights,TechNights,https://www.cmu.edu/scs/technights
tepper,Tepper School of Business,https://www.cmu.edu/tepper
tepper-dean-search,Tepper Dean Search,https://www.cmu.edu/tepper-dean-search
theory,MCS Theory Center,https://www.cmu.edu/mcs/theory
theword,The Word,https://www.cmu.edu/student-affairs/theword
tic,Tepper Information Center,https://www.cmu.edu/tepper/tic
title-ix-2,Office of Title IX Initiatives,https://www.cmu.edu/title-ix
tony-awards-2,CMU & the Tony Awards,https://www.cmu.edu/tony-awards
tpes-2,Laboratory for Transport Phenomena in Energy Systems,https://www.cmu.edu/me/tpes
trademark-licensing-2,Trademark Licensing,https://www.cmu.edu/trademark
trumble-cardiac-assist,Trumble Cardiac Engineering Group,https://www.cmu.edu/bme/trumble-cardiac-assist
tutornet-2,TutorNet,https://www.cmu.edu/tutornet
two-d-center,2D Center,https://www.cmu.edu/2d-center
uls-2,University Lecture Series,https://www.cmu.edu/uls
undergraduate-research-2,Undergraduate Research Office,https://www.cmu.edu/uro
university-center-4,Jared L. Cohon University Center,https://www.cmu.edu/cohon-university-center
universitypress-2,University Press,https://www.cmu.edu/universitypress
vdm,Virtual Dalcroze Meet-Up,https://www.cmu.edu/cfa/music/vdm
veterans-2,Veterans & Military Community,https://www.cmu.edu/veterans
vp-dei-search,"Vice Provost for Diversity, Equity and Inclusion Search",https://www.cmu.edu/vp-dei-search
web,CMU Web,https://www.cmu.edu/web
world-economic-forum,World Economic Forum,https://www.cmu.edu/world-economic-forum
xray-tomography-2,X-ray Computed Tomography Facility,https://www.cmu.edu/me/xctf
